Intensity Level,Direction,Ground Motion ID,floor 1,floor 2,floor 3,floor 4,floor 5,floor 6,floor 7,floor 8,floor 9,floor 10,floor 11,floor 12,floor 13,floor 14,floor 15,floor 16,floor 17,floor 18,floor 19,floor 20,floor 21,floor 22,floor 23,floor 24,floor 25,floor 26,floor 27,floor 28,floor 29,floor 30,floor 31,floor 32,floor 33,floor 34,floor 35,floor 36,floor 37,floor 38,floor 39,floor 40,floor 41,floor 42,floor 43,floor 44,floor 45,floor 46,floor 47
MCEB,Y,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,Y,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,Y,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,Y,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,Y,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,Y,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,Y,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,Y,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBED,X,1,0,0,0,0,0.008975934,0.011003795,0.012001225,0.01306202,0.013918435,0.014401785,0.014643475,0.014667095,0.014545085,0.014302635,0.01402113,0.01363142,0.01321825,0.01256828,0.01224528,0.012246045,0.012439105,0.01256244,0.01260508,0.01264724,0.012987955,0.01343994,0.013785935,0.01402895,0.013938195,0.01390231,0.01374126,0.014426375,0.014632205,0.014802705,0.014690195,0.013945625,0.01295991,0.011920835,0.010726825,0.009692909,0.00905781,0.008622333,0.007742956,0.005757459,0.004228564,3.55E-14,0
DBED,X,2,0,0,0,0,0.004467359,0.005369392,0.005916448,0.006518232,0.00702529,0.007535438,0.007876099,0.008080394,0.008141432,0.008080455,0.007918413,0.00769797,0.007556177,0.007393378,0.00710445,0.006944674,0.006805299,0.006562356,0.006159875,0.005695643,0.005665077,0.005646509,0.006230739,0.006335847,0.007392519,0.008075558,0.008181745,0.008525558,0.008704982,0.008552868,0.008395738,0.008201224,0.007579153,0.007074745,0.006731749,0.00653279,0.006082745,0.005577845,0.004820772,0.00428967,0.003643625,3.32E-14,0
