Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44
MCEB,Y,1,9.39E-05,0.000288968,0.000282313,0.000469941,0.00143471,0.00226382,0.00247262,0.00138149,0.00138399,0.00275083,0.00287522,0.00272845,0.0027314,0.00243911,0.00234575,0.0017448,0.00180198,0.00350233,0.0033082,0.00327302,0.00321909,0.00261007,0.0030435,0.00176159,0.00179354,0.00385899,0.00442136,0.00485371,0.00464993,0.00365463,0.0042201,0.00402113,0.00418488,0.00627349,0.00659006,0.00571001,0.00569062,0.00420846,0.00378519,0.00465294,0.0039875,0.00580875,0.00452256,0.00245859
MCEB,Y,2,0.000156022,0.000499265,0.000526775,0.000851454,0.00267051,0.00418633,0.00457331,0.00288093,0.00272064,0.00518539,0.00502922,0.0039373,0.00366946,0.00297459,0.00313682,0.00233915,0.00217092,0.0053593,0.00555633,0.00514601,0.00483345,0.00303365,0.00401403,0.00306294,0.00307118,0.00623135,0.00748078,0.00809987,0.00692199,0.00486661,0.00615508,0.00838957,0.00776439,0.00938994,0.00823574,0.00823762,0.00734732,0.00580209,0.00581266,0.0092042,0.00810533,0.0083742,0.0063325,0.00374612
MCEB,Y,3,0.000150533,0.000508214,0.000528129,0.000998433,0.00354117,0.00481535,0.00605622,0.0050808,0.00484917,0.00765314,0.00779307,0.00635816,0.00609831,0.00405191,0.00404588,0.00402171,0.00310883,0.00620364,0.00586938,0.00533377,0.00480191,0.00367578,0.00356412,0.00307627,0.00276899,0.00614467,0.00748279,0.00703707,0.00620713,0.00499033,0.00607806,0.00947228,0.00953426,0.0107648,0.00864098,0.00751546,0.00792329,0.00555104,0.00583847,0.00855312,0.00782705,0.00807436,0.00593854,0.00389274
MCEB,Y,4,0.000119747,0.00038322,0.000472311,0.00082192,0.00267848,0.00433655,0.00451651,0.00282656,0.00286399,0.00583937,0.00644822,0.0053284,0.00487412,0.00371183,0.00357295,0.00328336,0.00285742,0.00685754,0.00806826,0.00744341,0.00670934,0.00508446,0.00538847,0.00616265,0.00528772,0.00911216,0.00942083,0.00765881,0.00669569,0.00437451,0.00399371,0.00533681,0.00469903,0.00638031,0.00589613,0.00512355,0.00567789,0.00501413,0.00418527,0.00468669,0.00425313,0.00590158,0.00495451,0.00321115
MCEB,Y,5,0.000130462,0.000408585,0.000497935,0.000791714,0.00243669,0.00414072,0.00486084,0.00414481,0.00370239,0.0065302,0.00684811,0.00548837,0.00507976,0.00388691,0.00349202,0.00317868,0.00256298,0.00537864,0.00594678,0.00558559,0.00524524,0.00454498,0.0047698,0.00464629,0.00408205,0.00787009,0.00837565,0.00706783,0.00648424,0.00491362,0.00411384,0.00486056,0.00410325,0.00600319,0.00574928,0.00486736,0.00503829,0.00420755,0.00371672,0.00429367,0.00380997,0.0054205,0.00437863,0.00271531
MCEB,Y,6,0.000439519,0.00148983,0.00119136,0.00237678,0.00766331,0.00582023,0.00971858,0.00842606,0.00882365,0.0135941,0.00696773,0.0115334,0.00953981,0.00452205,0.00642793,0.00350459,0.00331872,0.00761459,0.00736711,0.00961568,0.00918033,0.00393169,0.00652246,0.00369178,0.00335419,0.0077741,0.00658261,0.00952429,0.00973799,0.00378523,0.00759222,0.00411929,0.00424892,0.00762157,0.00438831,0.00756077,0.00913543,0.00331333,0.00665806,0.00546703,0.00622423,0.00716407,0.00437441,0.00396208
MCEB,Y,7,0.00041076,0.00129745,0.00101212,0.00156711,0.00514714,0.00516409,0.00624461,0.00369685,0.00325676,0.00700912,0.00666736,0.00857987,0.00782574,0.00307789,0.00419091,0.00291201,0.00307313,0.0050665,0.00611128,0.00631465,0.00624531,0.00286951,0.00459955,0.00292743,0.00254467,0.00658739,0.00609544,0.00781837,0.0078343,0.002328,0.0058048,0.004428,0.00530167,0.00723011,0.00531399,0.00634929,0.00691404,0.0025541,0.0068153,0.00474222,0.00667754,0.00741326,0.00440461,0.00300064
MCEB,Y,8,2.84E-04,0.00106883,0.000816366,0.00147497,0.00491652,0.00476901,0.00601831,0.00420233,0.00384328,0.00702001,0.00604302,0.00797903,0.00510021,0.00401322,0.00356272,0.00249896,0.00219263,0.00530193,0.00508063,0.00651159,0.00452374,0.00347456,0.00446972,0.00411793,0.00343748,0.00703474,0.00877421,0.00740961,0.0069172,0.00424481,0.00415286,0.00480556,0.00426868,0.00609198,0.00551629,0.00624553,0.00543518,0.00415651,0.00515783,0.00636134,0.00619177,0.00665157,0.00425567,0.00262336
MCEB,Y,9,0.000240514,0.000876071,0.000551112,0.0013406,0.0035243,0.00445681,0.00506784,0.00290044,0.00302063,0.00528416,0.00457998,0.00506206,0.00386487,0.00263851,0.0031076,0.00218408,0.0020231,0.00404768,0.00357782,0.00452609,0.00484573,0.00268851,0.00385122,0.00317415,0.00346422,0.00492181,0.00522611,0.00598944,0.00554236,0.00388428,0.00526621,0.00529951,0.00569704,0.00858996,0.00748823,0.00888855,0.00790164,0.00620312,0.00642384,0.00917836,0.00810427,0.00892453,0.00663427,0.0041873
MCEB,Y,10,0.000306116,0.00106611,0.000750106,0.00113294,0.00285558,0.00382773,0.00447375,0.00299084,0.00269103,0.00579018,0.00624203,0.00564309,0.00530432,0.00430066,0.00462088,0.00419721,0.00347451,0.00777802,0.00835709,0.00735945,0.00642574,0.00455547,0.00476509,0.00472352,0.00417492,0.00847824,0.00938594,0.00856272,0.00763953,0.00477566,0.00458948,0.00790115,0.00721684,0.00765705,0.00620867,0.00561556,0.00630644,0.00551234,0.00476458,0.00493791,0.00456645,0.0066224,0.00533877,0.00390888
MCEB,Y,11,0.000286642,0.000909986,0.000775149,0.00127687,0.0042145,0.00413913,0.0050889,0.00281671,0.0032283,0.0059947,0.00563658,0.00643301,0.00555704,0.0031893,0.00339779,0.00231089,0.00231575,0.00493604,0.00436971,0.00572401,0.00610907,0.00338319,0.00499181,0.00331811,0.003159,0.00587969,0.00758915,0.00812451,0.00799393,0.00374054,0.00552166,0.00338624,0.00345712,0.00616679,0.00551358,0.00640555,0.0071038,0.00369776,0.00533636,0.00761219,0.00713961,0.00718933,0.0044487,0.00319645
DBED,X,1,0.000510705,0.00112001,0.00111123,0.00128223,0.00344564,0.005517,0.006419,0.00688229,0.00694783,0.00678505,0.0065216,0.0061934,0.00595408,0.00575794,0.00548335,0.00544431,0.00520496,0.00504114,0.00494616,0.00473477,0.0048226,0.0049378,0.00510461,0.00536718,0.00577689,0.00614303,0.00609475,0.00562506,0.00488462,0.00504232,0.00459032,0.00517329,0.005144,0.00511147,0.00519906,0.00567187,0.00552755,0.00660317,0.00824906,0.0076931,0.00601204,0.00452348,0.00311256,0.0025623
DBED,X,2,0.000288949,0.000600694,0.000546948,0.00100015,0.00329516,0.00571454,0.00721871,0.00851708,0.00970757,0.0108828,0.0119338,0.0127097,0.0132408,0.0136025,0.0136623,0.0135346,0.0130449,0.0123626,0.0118107,0.011236,0.0101842,0.0086571,0.0074457,0.00673275,0.00636285,0.00585954,0.00559936,0.00579442,0.00585384,0.00560491,0.00529325,0.00557184,0.00585578,0.00525611,0.00485273,0.00529632,0.0061234,0.00702225,0.00653601,0.00528196,0.00491742,0.0047335,0.00358026,0.00287451
DBED,X,3,0.000146969,0.000256928,0.000295625,0.000809218,0.00256274,0.00418889,0.00520962,0.0060476,0.00683036,0.00769109,0.00839291,0.00871196,0.00865965,0.00838215,0.00807899,0.0078008,0.00728608,0.00648332,0.00554901,0.00498774,0.00467538,0.00484435,0.00534248,0.00622925,0.00738224,0.00845929,0.00913301,0.00936587,0.00918821,0.00873587,0.00771217,0.00759158,0.00702986,0.00628311,0.00565853,0.00494442,0.00432803,0.00397188,0.00378283,0.00376754,0.00369343,0.00314897,0.00259842,0.00215594
DBED,X,4,0.000190293,0.000354791,0.000366592,0.000726928,0.00211036,0.00329095,0.00383706,0.00413548,0.00417419,0.00404795,0.00380899,0.00350041,0.00398673,0.0044642,0.00482243,0.00511995,0.00531476,0.00544542,0.00550687,0.00553168,0.00543763,0.00530292,0.00522859,0.00532038,0.00563998,0.0057863,0.00547421,0.00567669,0.00603504,0.00631359,0.00670615,0.00699761,0.00691617,0.00791951,0.00751549,0.00644867,0.00614737,0.00599466,0.00568435,0.00487419,0.00435603,0.00383809,0.00326711,0.00271024
